domain,NS,IP
ALLY,y.nic.ALLY.,156.154.173.82
ALLY,z.nic.ALLY.,156.154.174.82
ALLY,a.nic.ALLY.,37.209.192.9
ALLY,b.nic.ALLY.,37.209.194.9
ALLY,c.nic.ALLY.,37.209.196.9
ALLY,x.nic.ALLY.,156.154.172.82
ALIPAY,a2.nic.ALIPAY.,65.22.131.25
ALIPAY,b0.nic.ALIPAY.,65.22.129.25
ALIPAY,c0.nic.ALIPAY.,65.22.130.25
ALIPAY,a0.nic.ALIPAY.,65.22.128.25
AMERICANEXPRESS,b.nic.AMERICANEXPRESS.,37.209.194.9
AMERICANEXPRESS,c.nic.AMERICANEXPRESS.,37.209.196.9
AMERICANEXPRESS,ns2.dns.nic.AMERICANEXPRESS.,156.154.145.9
AMERICANEXPRESS,a.nic.AMERICANEXPRESS.,37.209.192.9
AMERICANEXPRESS,ns1.dns.nic.AMERICANEXPRESS.,156.154.144.9
AMERICANEXPRESS,ns3.dns.nic.AMERICANEXPRESS.,156.154.159.9
ALIBABA,c0.nic.ALIBABA.,65.22.134.9
ALIBABA,a2.nic.ALIBABA.,65.22.135.9
ALIBABA,a0.nic.ALIBABA.,65.22.132.9
ALIBABA,b0.nic.ALIBABA.,65.22.133.9
AM,fork.sth.dnsnode.net.,77.72.229.254
AM,ns-cdn.amnic.net.,194.0.1.26
AM,ns-pch.amnic.net.,204.61.216.96
AM,ns-pri.nic.AM.,195.43.75.53
AMERICANFAMILY,c.nic.AMERICANFAMILY.,37.209.196.9
AMERICANFAMILY,b.nic.AMERICANFAMILY.,37.209.194.9
AMERICANFAMILY,a.nic.AMERICANFAMILY.,37.209.192.9
AMERICANFAMILY,z.nic.AMERICANFAMILY.,156.154.174.82
AMERICANFAMILY,y.nic.AMERICANFAMILY.,156.154.173.82
AMERICANFAMILY,x.nic.AMERICANFAMILY.,156.154.172.82
AMSTERDAM,ns4.dns.AMSTERDAM.,185.159.199.202
AMSTERDAM,ns1.dns.AMSTERDAM.,194.0.28.4
AMSTERDAM,ns3.dns.AMSTERDAM.,194.0.25.26
AMAZON,dnsb.nic.AMAZON.,156.154.101.3
AMAZON,dnsc.nic.AMAZON.,156.154.102.3
AMAZON,dnsd.nic.AMAZON.,156.154.103.3
AMAZON,dns1.nic.AMAZON.,213.248.218.90
AMAZON,dns2.nic.AMAZON.,103.49.82.90
AMAZON,dns3.nic.AMAZON.,213.248.222.90
AMAZON,dns4.nic.AMAZON.,43.230.50.90
AMAZON,dnsa.nic.AMAZON.,156.154.100.3
AMICA,b.nic.AMICA.,37.209.194.9
AMICA,a.nic.AMICA.,37.209.192.9
AMICA,ns1.dns.nic.AMICA.,156.154.144.11
AMICA,ns3.dns.nic.AMICA.,156.154.159.11
AMICA,ns2.dns.nic.AMICA.,156.154.145.11
AMICA,c.nic.AMICA.,37.209.196.9
ANDROID,ns-tld3.charlestonroadregistry.com.,216.239.36.105
ANDROID,ns-tld5.charlestonroadregistry.com.,216.239.60.105
ANDROID,ns-tld2.charlestonroadregistry.com.,216.239.34.105
ANDROID,ns-tld4.charlestonroadregistry.com.,216.239.38.105
ANDROID,ns-tld1.charlestonroadregistry.com.,216.239.32.105
